"Key","SourceString","Comment"
"NEW_ACHIEVEMENT_2_3_NAME","As All Things Should Be",""
"NEW_ACHIEVEMENT_2_3_DESC","Complete 5 commissions with a requirement in both weight and balance.",""
"NEW_ACHIEVEMENT_2_4_NAME","Curved. Swords.",""
"NEW_ACHIEVEMENT_2_4_DESC","Sell 10 swords with a curved blade.",""
"NEW_ACHIEVEMENT_2_5_NAME","Symmetry Is for Cowards",""
"NEW_ACHIEVEMENT_2_5_DESC","Sell 10 swords using any asymmetric ability.",""
"NEW_ACHIEVEMENT_2_6_NAME","Precision Instruments",""
"NEW_ACHIEVEMENT_2_6_DESC","Sell 5 swords with a rating of 3 in 3 categories.",""
"NEW_ACHIEVEMENT_2_7_NAME","Etch a Sketch",""
"NEW_ACHIEVEMENT_2_7_DESC","Sell 10 swords with at least 10 engravings.",""
"NEW_ACHIEVEMENT_2_8_NAME","Feature Creep",""
"NEW_ACHIEVEMENT_2_8_DESC","Sell 10 swords with at least 10 blade abilities.",""
"NEW_ACHIEVEMENT_2_9_NAME","The Conjurer",""
"NEW_ACHIEVEMENT_2_9_DESC","Conjure a sword using Magic Words.",""
"NEW_ACHIEVEMENT_2_10_NAME","Gnometech",""
"NEW_ACHIEVEMENT_2_10_DESC","Please leave our beautiful game alone!",""
"NEW_ACHIEVEMENT_2_12_NAME","Flatcat",""
"NEW_ACHIEVEMENT_2_12_DESC","Meow.",""
"NEW_ACHIEVEMENT_2_13_NAME","Salvage Master",""
"NEW_ACHIEVEMENT_2_13_DESC","Salvage 100 scrap items.",""
"NEW_ACHIEVEMENT_2_14_NAME","To Dye For",""
"NEW_ACHIEVEMENT_2_14_DESC","Unlock 10 different dye colours.",""
"NEW_ACHIEVEMENT_2_15_NAME","Fetch Quest",""
"NEW_ACHIEVEMENT_2_15_DESC","Have the hunter bring home treasure worth 1000 thalers in total.",""
"NEW_ACHIEVEMENT_2_16_NAME","The Silver Lining",""
"NEW_ACHIEVEMENT_2_16_DESC","Earn 5000 thalers in total.",""
"NEW_ACHIEVEMENT_2_17_NAME","It Will Skill",""
"NEW_ACHIEVEMENT_2_17_DESC","Unlock 10 skills in the skill tree.",""
"NEW_ACHIEVEMENT_2_18_NAME","Earning Your Keep",""
"NEW_ACHIEVEMENT_2_18_DESC","Finish the prologue and enter Eren Keep.",""
"NEW_ACHIEVEMENT_2_19_NAME","Rough Justice",""
"NEW_ACHIEVEMENT_2_19_DESC","Finish Chapter 1.",""
"NEW_ACHIEVEMENT_2_20_NAME","The Apprentice",""
"NEW_ACHIEVEMENT_2_20_DESC","Recruit Caswynn.",""
"NEW_ACHIEVEMENT_2_21_NAME","The Visionary",""
"NEW_ACHIEVEMENT_2_21_DESC","Recruit Ryselle.",""
"NEW_ACHIEVEMENT_2_22_NAME","The Hound",""
"NEW_ACHIEVEMENT_2_22_DESC","Recruit Chlodo.",""
"NEW_ACHIEVEMENT_2_23_NAME","The Mysterious Fire",""
"NEW_ACHIEVEMENT_2_23_DESC","Solve the case of the mysterious fire for the Magisterium.",""
"NEW_ACHIEVEMENT_2_24_NAME","The Black Stone",""
"NEW_ACHIEVEMENT_2_24_DESC","Deal with the black stone for the Crows of the Bloody Cloaks.",""
"NEW_ACHIEVEMENT_2_25_NAME","Worth the Price I Paid",""
"NEW_ACHIEVEMENT_2_25_DESC","Faciliate Karelinus' expedition to the ruins of Creedhaven.",""
"NEW_ACHIEVEMENT_2_26_NAME","Call of the Dark",""
"NEW_ACHIEVEMENT_2_26_DESC","Find loot in the Lost City 5 times.",""
"NEW_ACHIEVEMENT_2_27_NAME","Master of Manuscripts","Title of the Steam game Scriptorium – Master of Manuscripts."
"NEW_ACHIEVEMENT_2_27_DESC","Egghorse would be proud.","Egghorse is the mascot of Steam game Scriptorium – Master of Manuscripts."
