"Key","SourceString","Comment"
"firstname_female1","Brinn",""
"firstname_female2","Zoea",""
"firstname_female3","Rylie",""
"firstname_female4","Bryanna",""
"firstname_female5","Viktorya",""
"firstname_female6","Vanna",""
"firstname_female7","Mena",""
"firstname_female8","Delyla",""
"firstname_female9","Zoey",""
"firstname_female10","Kalya",""
"firstname_female11","Pera",""
"firstname_female12","Dreia",""
"firstname_female13","Leia",""
"firstname_female14","Alessana",""
"firstname_female15","Lailana",""
"firstname_female16","Nataliae",""
"firstname_female17","Kaelia",""
"firstname_female18","Vyla",""
"firstname_female19","Ashlyne",""
"firstname_female20","Alinea",""
"firstname_female21","Avia",""
"firstname_female22","Celine",""
"firstname_female23","Myla",""
"firstname_female24","Asljena",""
"firstname_female25","Dalilya",""
"firstname_female26","Lilya",""
"firstname_female27","Arya",""
"firstname_female28","Janna",""
"firstname_female29","Stylla",""
"firstname_female30","Bruka",""
