"Key","SourceString","Comment"
"SteelDefault","Acero","Material de hoja"
"SteelBrushed","Acero Cepillado","Material de parte de espada"
"SteelBlued","Acero Pavonado","Material de hoja"
"SteelBluedBrushed","Acero Pavonado Cepillado","Material de hoja"
"SteelPatternWeld","Acero Damasquinado 1","Material de hoja"
"SteelPatternWeldCoffeeEtched","Acero Damasquinado 2","Material de hoja"
"Brass","Latón","Material de hoja"
"Gold","Oro","Material de hoja"
"Silver","Plata","Material de hoja"
"Bronze","Bronce","Material de hoja"
"Copper","Cobre","Material de hoja"
"Chromium","Cromo","Material de parte de espada"
"Rust","Óxido","Material de hoja"
"RustDark","Óxido Oscuro","Material de hoja"
"RustGreen","Óxido Verdoso","Material de hoja"
"SteelRed","Acero Sangre de Dragón","Material de hoja"
"SteelBlack","Acero Bruñido","Material de hoja"
"LeatherCowRough","Cuero Vacuno Rugoso sobre Madera","Material de parte de espada"
"LeatherPebbled","Cuero Granulado sobre Madera","Material de parte de espada"
"LeatherCow","Cuero Vacuno sobre Madera","Material de parte de espada"
"LeatherWrinkled","Cuero Vacuno Arrugado sobre Madera","Material de parte de espada"
"LeatherLamb","Cuero de Cordero sobre Madera","Material de parte de espada"
"LeatherLambRibbed","Cuero de Cordero Acanalado sobre Madera","Material de parte de espada"
"LeatherSnakeScaleForest","Escamas de Serpiente","Material de parte de espada"
"WoodBasic","Madera de Álamo Simple","Material de parte de espada"
"WoodAsh","Madera de Fresno","Material de parte de espada"
"WoodFine","Madera Fina","Material de parte de espada"
"WoodLight","Madera Clara","Material de parte de espada"
"WoodDark","Madera Oscura","Material de parte de espada"
"WireWrap","Envoltura de Alambre","Material de parte de espada"
"WireWrapGold","Envoltura de Alambre (Oro)","Material de parte de espada"
"RopeWrapHemp","Envoltura de Cuerda (Cáñamo)","Material de parte de espada"
"RopeWrap","Envoltura de Cuerda","Material de parte de espada"
"Clay","Arcilla","Material de parte de espada"
"Obsidian","Obsidiana","Material de parte de espada"
"Ivory","Marfil","Material de parte de espada"
"Ice","Hielo","Material de parte de espada"
"Glowing","Encantado","Material de parte de espada"
"Rock","Roca","Material de parte de espada"
