"Key","SourceString","Comment"
"Black","Negro","Pigmento de material"
"Brown","Marrón Nogal","Pigmento de material"
"Red","Carmesí","Pigmento de material"
"Oxblood","Rojo Sangre de Buey","Pigmento de material"
"Blue","Índigo","Pigmento de material"
"Green","Verde Musgo","Pigmento de material"
"Yellow","Azafrán","Pigmento de material"
"Purple","Púrpura Profundo","Pigmento de material"
"White","Alabastro","Pigmento de material"
"Sienna","Marrón Silla","Pigmento de material"
"Orange","Naranja","Pigmento de material"
"HotSteel","Acero al Rojo Vivo","Pigmento de material"
"RedGlow","Rojo","Pigmento de material"
"BlueGlow","Azul","Pigmento de material"
"GreenGlow","Verde","Pigmento de material"
"YellowGlow","Amarillo","Pigmento de material"
"PurpleGlow","Púrpura","Pigmento de material"
"WhiteGlow","Blanco","Pigmento de material"
