"Key","SourceString","Comment","Scope"
"steelfortheforge_journal_name","Acero para la Forja","","Demo"
"helpingtheneighbour_journal_name","Ayudando al Vecino","","Demo"
"thepeoplesmugglers_journal_name","Los Contrabandistas del Pueblo","","Post-EA"
"enteringerenkeep_journal_name","Entrando en Eren Keep","","Demo"
"themysteriousfire_journal_name","El Fuego Misterioso","","EA"
"collegesummons_journal_name","Invitado a San Meregor","","EA"
"expedition_journal_name","La Expedición","","EA"
"armathief_journal_name","Armar a un Ladrón","","Demo"
"campaftermath_journal_name","Las Secuelas","","Demo"
"anunwelcomeguest_journal_name","Un Huésped Indeseado","","EA"
"thesentinelsorigin_journal_name","El Origen del Centinela","","EA"
"themissingsmith_journal_name","El Herrero Desaparecido","","EA"
"orphanharvest_journal_name","Corderos Perdidos","","EA"
"recruitingcaswynn_journal_name","Reclutando a Caswynn","","EA"
"gettingthewordout_journal_name","Corriendo la Voz","","EA"
"sourceofsteel_journal_name","Una Fuente de Acero","","EA"
"sourceofwood_journal_name","Una Fuente de Madera","","EA"
"sourceofleather_journal_name","Una Fuente de Cuero","","EA"
"theresistance_journal_name","La Mano Cenicienta","","Post-EA"
"strangetravels_journal_name","Viajes Extraños","","Post-EA"
"newsfromafar_journal_name","Noticias de Lejos","","EA"
"blackstone_journal_name","La Piedra Negra","","EA"
"stealingbooks_journal_name","Robando Libros","","Post-EA"
