"Key","SourceString","Comment"
"intheforge_title","La Forja","Se usa para mostrar la ubicación actual del jugador durante el día, cuando está en la forja."
"forge_title","Quedarse en la forja","Descripción de una opción que aparece en el mapa para omitir la selección de ubicación y pasar la noche en la forja."
"den_title","La Guarida","Descripción de una ubicación que aparece en el mapa."
"outergate_title","Puerta Exterior",""
"camp_title","El Campamento",""
"thelostcity_title","La Ciudad Perdida",""
"steadystay_title","La Posada El Reposo",""
"citadelsquare_title","Plaza de la Ciudadela",""
"orphanage_title","El Orfanato",""
"thebridgeofwhispers_title","El Puente de los Susurros",""
"stmeregorscollege_title","Colegio de San Meregor",""
"thearena_title","La Arena",""
"thetannery_title","La Tenería",""
