"Key","SourceString","Comment"
"tutorial_thankyouforsignup","Traducción por: Kaikers",""
"tutorial_lotshaschanged","Este tutorial te enseñará todo lo que necesitas saber. Por favor, síguelo atentamente.",""
"tutorial_welcometocamp","¡Bienvenido al campamento, herrero!",""
"tutorial_commission_source","La gente acudirá a ti para pedirte <emph>encargos</>.",""
"tutorial_commission_choose","Tú eliges qué encargos aceptar.",""
"tutorial_commission_refresh","Los encargos se renuevan cada día",""
"tutorial_commission_button","Selecciona el botón resaltado para elegir tu primer encargo.",""
"tutorial_billet_prepare","Cuando aceptas un encargo, preparas una pieza en bruto para tu espada.",""
"tutorial_billet_costsactionpoints","Preparar esta pieza en bruto cuesta <emph>Puntos de Acción</> <AP/>",""
"tutorial_actionpoints_replenish","Los Puntos de Acción <AP/> se reponen a diario.",""
"tutorial_billet_costssteel","Preparar esta pieza en bruto también cuesta <emph>acero</>. <Steel/>.",""
"tutorial_camera_move","Para rotar la cámara, mantén pulsado el <emph>botón derecho del ratón</> y mueve el ratón.",""
"tutorial_camera_rotate","Para mover la cámara a lo largo de la hoja, mantén presionado el <emph>botón central del ratón</> o <emph>Alt + botón derecho del ratón</> y mueve el ratón.",""
"tutorial_camera_zoom","Para hacer zoom, usa la <emph>rueda del ratón</>.",""
"tutorial_usetutorialflag","Usa el indicador del tutorial en la barra superior para volver a ver cualquier información que ya hayas visto.",""
"tutorial_commission_requirements","Los clientes tienen distintos <emph>requisitos</> que tu espada debe cumplir.",""
"tutorial_commission_requirementspanel","El panel superior izquierdo muestra tu progreso respecto a los requisitos de los encargos.",""
"tutorial_hoverbladelength","Coloca el cursor sobre el requisito de Longitud de la Hoja para ver detalles útiles.",""
"tutorial_letsstartshaping","Vamos a empezar a dar forma a tu hoja.",""
"tutorial_addability_changelength","Haz clic en el botón <AddAbility/> para añadir la habilidad <ability>Cambiar Longitud</>.",""
"tutorial_hammer_types","Puedes aplicar golpes de martillo ligeros o fuertes para modificar tu hoja.",""
"tutorial_hammer_click","Comencemos con golpes ligeros. Haz clic en la pieza de acero para martillarla y alargarla.",""
"tutorial_hammer_heavyhits","Para realizar cambios mayores en tu hoja, puedes acumular fuerza con golpes fuertes.",""
"tutorial_hammer_heavyhittiming","Haz clic cuando el martillo esté en su posición más alta para un golpe fuerte.",""
"tutorial_hammer_rhythm","Martilla al ritmo para golpes más fuertes.",""
"tutorial_hammer_heavyhitchain","Cuanto más larga sea tu cadena de golpes fuertes, más cambia tu hoja con cada golpe.",""
"tutorial_letsflatten","Ahora que se cumple el requisito de Longitud de la Hoja, vamos a aplanar la hoja.",""
"tutorial_addability_changethickness","Haz clic en el botón <AddAbility/> para añadir la habilidad <ability>Cambiar Grosor</>",""
"tutorial_hammer_allhitsarebeautiful","Siéntete libre de usar golpes ligeros o fuertes a tu gusto.",""
"tutorial_shiftforfinecontrol","Mantén presionada la tecla Shift para golpes de martillo aún más ligeros.",""
"tutorial_fliphammeringdirection","Usa <key>X</> para cambiar la dirección del martillado.",""
